tag,content,sentiment
p,"French KingFrancis I, in whose court Leonardo spent the last years of his life,acquiredthe work after the artist’s death, and it became part of the royal collection. For centuries the portrait was secluded in French palaces, until insurgents claimed the royal collection as the property of the people during theFrench Revolution(1787–99). Following a period hanging inNapoleon’s bedroom, theMona Lisawas installed in theLouvre Museumat the turn of the 19th century.",Negative
p,"In 1911 the painting was stolen, causing an immediate media sensation. People flocked to the Louvre to view the empty space where the painting had once hung, the museum’s director of paintings resigned, and the poetGuillaume Apollinaireand artistPablo Picassowere even arrested as suspects. Two years later an art dealer inFlorencealerted local authorities that a man had tried to sell him the painting. Police found the portrait stashed in the false bottom of a trunk belonging toVincenzo Peruggia, an Italian immigrant who had briefly worked at the Louvre fitting glass on a selection of paintings, including theMona Lisa. He and possibly two other workers had hidden in a closet overnight, taken the portrait from the wall the morning of August 21, 1911, and run off withoutsuspicion. Peruggia was arrested, tried, and imprisoned, while theMona Lisatook a tour of Italy before making its triumphant return to France.",Negative
p,"DuringWorld War IItheMona Lisa, singled out as the most-endangered artwork in the Louvre, was evacuated to various locations in France’s countryside, returning to the museum in 1945 after peace had been declared. It later traveled to theUnited Statesin 1963, drawing about 40,000 people per day during its six-week stay at theMetropolitan Museum of ArtinNew York Cityand at theNational Gallery of ArtinWashington, D.C. It also toured toTokyoandMoscowin 1974.",Neutral
p,"Scholars have noted that theMona Lisais in fairly good condition for its age. The poplar panel shows some evidence ofwarpingfrom resistance to its original frame and to braces added by early restorers. To prevent the widening of a small crack, visible near the centre of the upper edge of the painting, dovetails were added to the back of the painting. Restorers later pasted heavy canvas over the crack and replaced the top dovetail.",Positive
p,"The glass protecting theMona Lisawas replaced with a bulletproof case after several attacks in 1956, one of which damaged an area near the subject’s left elbow. TheMona Lisathus escaped harm from acts of vandalism in 1974 during the work’s visit to Tokyo and in 2009 when a museumgoer threw a ceramic mug at it.",Negative
span,Click here to search,Neutral
span,Click here to search,Neutral
span,SUBSCRIBE,Neutral
span,SUBSCRIBE,Neutral
span,Login,Neutral
span,Visual Arts,Neutral
span,Painting,Neutral
span,"Leonardo da Vinci:Mona LisaMona Lisa, oil on wood panel by Leonardo da Vinci, c. 1503–19; in the Louvre, Paris.(more)",Neutral
span,"Mona Lisa, oil on wood panel by Leonardo da Vinci, c. 1503–19; in the Louvre, Paris.",Neutral
span,"Mona Lisa, oil on wood panel by Leonardo da Vinci, c. 1503–19; in the Louvre, Paris.",Neutral
span,(more),Positive
span,Copy Citation,Neutral
span,Facebook,Neutral
span,X,Neutral
span,Written and fact-checked by,Neutral
span,The Editors of Encyclopaedia Britannica,Neutral
span,"Last Updated:Mar 25, 2025•",Neutral
span,"Unraveling the mystery behind theMona LisaOverview of Leonardo da Vinci'sMona Lisa, with a discussion of the sitter's identity.(more)",Negative
span,Unraveling the mystery behind theMona Lisa,Negative
span,"Overview of Leonardo da Vinci'sMona Lisa, with a discussion of the sitter's identity.",Neutral
span,(more),Positive
span,Who was the subject of theMona Lisa?Learn about efforts to identify the subject of Leonardo da Vinci's paintingMona Lisa(c. 1503–19).(more),Negative
span,Who was the subject of theMona Lisa?,Negative
span,Learn about efforts to identify the subject of Leonardo da Vinci's paintingMona Lisa(c. 1503–19).,Negative
span,(more),Positive
div,Search BritannicaClick here to searchSearch BritannicaClick here to searchSUBSCRIBESUBSCRIBELoginhttps://premium.britannica.com/premium-membership/?utm_source=premium&utm_medium=nav-login-box&utm_campaign=evergreen,Neutral
div,Search BritannicaClick here to searchSearch BritannicaClick here to searchSUBSCRIBESUBSCRIBELoginhttps://premium.britannica.com/premium-membership/?utm_source=premium&utm_medium=nav-login-box&utm_campaign=evergreen,Neutral
div,Search BritannicaClick here to search,Neutral
div,Search BritannicaClick here to search,Neutral
div,Search BritannicaClick here to search,Neutral
div,Search BritannicaClick here to search,Neutral
div,SUBSCRIBESUBSCRIBELoginhttps://premium.britannica.com/premium-membership/?utm_source=premium&utm_medium=nav-login-box&utm_campaign=evergreen,Neutral
div,SUBSCRIBE,Neutral
div,SUBSCRIBE,Neutral
div,https://premium.britannica.com/premium-membership/?utm_source=premium&utm_medium=nav-login-box&utm_campaign=evergreen,Neutral
div,SUBSCRIBE,Neutral
div,SUBSCRIBE,Neutral
div,"HomeHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyGames & QuizzesVideosOn This DayOne Good FactDictionaryNew ArticlesHistory & SocietyLifestyles & Social IssuesPhilosophy & ReligionPolitics, Law & GovernmentWorld HistoryScience & TechHealth & MedicineScienceTechnologyBiographiesBrowse BiographiesAnimals & NatureBirds, Reptiles & Other VertebratesBugs, Mollusks & Other InvertebratesEnvironmentFossils & Geologic TimeMammalsPlantsGeography & TravelGeography & TravelArts & CultureEntertainment & Pop CultureLiteratureSports & RecreationVisual ArtsCompanionsDemystifiedImage GalleriesListsPodcastsSpotlightSummariesTop Questions#WTFactBritannica Kids",Positive
div,"HomeHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyGames & QuizzesVideosOn This DayOne Good FactDictionaryNew ArticlesHistory & SocietyLifestyles & Social IssuesPhilosophy & ReligionPolitics, Law & GovernmentWorld HistoryScience & TechHealth & MedicineScienceTechnologyBiographiesBrowse BiographiesAnimals & NatureBirds, Reptiles & Other VertebratesBugs, Mollusks & Other InvertebratesEnvironmentFossils & Geologic TimeMammalsPlantsGeography & TravelGeography & TravelArts & CultureEntertainment & Pop CultureLiteratureSports & RecreationVisual ArtsCompanionsDemystifiedImage GalleriesListsPodcastsSpotlightSummariesTop Questions#WTFactBritannica Kids",Positive
div,Ask the ChatbotGames & QuizzesHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyVideos,Neutral
div,Ask the ChatbotGames & QuizzesHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyVideos,Neutral
div,Ask the ChatbotGames & QuizzesHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyVideos,Neutral
div,Ask the ChatbotGames & QuizzesHistory & SocietyScience & TechBiographiesAnimals & NatureGeography & TravelArts & CultureProConMoneyVideos,Neutral
div,"Mona LisaTable of ContentsIntroduction & Top QuestionsSubjectHistoryConditionTheMona Lisaand its influenceOtherMona LisasMona Lisaoff the wallReferences & Edit HistoryQuick Facts & Related TopicsImages & VideosRelated QuestionsWho was the Mona Lisa in real life?How many years did it take to paint the Mona Lisa?What is the value of the Mona Lisa?Why is the Mona Lisa so famous?What are the characteristics of Renaissance art, and how does it differ from the art of the Middle Ages?Read NextWhy Is theMona LisaSo Famous?11 Lesser-Known, Mostly Contemporary Paintings You Should Hunt Down the Next Time You’re in London10 Famous Artworks by Leonardo da Vinci29 Paintings You Can Visit Only at the LouvreStealing Beauty: 11 Notable Art TheftsDiscover7 Nobel Prize ScandalsThe 10 Greatest Basketball Players of All TimeWhat's the Difference Between a Solstice and an Equinox?Just How Many Oceans Are There?The Seven Sacraments of the Roman Catholic church10 Greatest Baseball Players of All TimeWhat’s Inside the Great Pyramid?ContentsVisual ArtsPaintingLeonardo da Vinci:Mona LisaMona Lisa, oil on wood panel by Leonardo da Vinci, c. 1503–19; in the Louvre, Paris.(more)Mona Lisapainting by Leonardo da VinciAsk the Chatbot a QuestionMore ActionsPrintprintPrintPlease select which sections you would like to print:Table Of ContentsCiteverifiedCiteWhile every effort has been made to follow citation style rules, there may be some discrepancies.
			Please refer to the appropriate style manual or other sources if you have any questions.Select Citation StyleMLAAPAChicago Manual of StyleCopy CitationShareShareShare to social mediaFacebookXURLhttps://www.britannica.com/topic/Mona-Lisa-paintingFeedbackExternal WebsitesFeedbackCorrections? Updates? Omissions? Let us know if you have suggestions to improve this article (requires login).Feedback TypeSelect a type (Required)Factual CorrectionSpelling/Grammar CorrectionLink CorrectionAdditional InformationOtherYour FeedbackSubmit FeedbackThank you for your feedbackOur editors will review what you’ve submitted and determine whether to revise the article.External WebsitesKhan Academy - Mona LisaUEN Digital Press with Pressbooks - Renaissance Through Contemporary Art History - Mona LisaSmart History - Leonardo, ""Mona Lisa""BBC - The detail that unlocks the Mona LisaCNN - What's so special about the Mona Lisa?The Guardian - The myth of the Mona LisaArt in Context - “Mona Lisa” by Leonardo da Vinci – Facts About the “Mona Lisa”Ask the Chatbot a QuestionAlso known as: “La Gioconda”, “La Joconde”, “Portrait of Lisa Gherardini, wife of Francesco del Giocondo”Written and fact-checked byThe Editors of Encyclopaedia BritannicaEncyclopaedia Britannica's editors oversee subject areas in which they have extensive knowledge, whether from years of experience gained by working on that content or via study for an advanced degree. They write new content and verify and edit content received from contributors.The Editors of Encyclopaedia BritannicaLast Updated:Mar 25, 2025•Article HistoryTable of ContentsTable of ContentsAsk the ChatbotAlso called:Portrait of Lisa Gherardini, wife of Francesco del GiocondoItalian:La Gioconda, orFrench:La Joconde(Show more)See all related contentTop QuestionsWho was the Mona Lisa in real life?There has been much speculation and debate regarding the identity of theMona Lisa’s sitter. Scholars and historians have posited numerous possibilities, including that she is Lisa del Giocondo (née Gherardini), wife of the Florentine merchant Francesco di Bartolomeo del Giocondo—hence the alternative title to the work,La Gioconda. That identity was first suggested in 1550 by artist biographerGiorgio Vasari.How many years did it take to paint the Mona Lisa?Leonardo da Vincibegan painting theMona Lisain 1503, and it was in his studio when he died in 1519. He likely worked on it intermittently over several years, adding multiple layers of thin oil glazes at different times. Small cracks in the paint, called craquelure, appear throughout the whole piece, but they are finer on the hands, where the thinner glazes correspond to Leonardo’s late period.Where is the real Mona Lisa kept?TheMona Lisahangs behind bulletproof glass in a gallery of theLouvre MuseuminParis, where it has been a part of the museum’s collection since 1804. It was part of the royal collection before becoming the property of the French people during theRevolution(1787–99).What is the value of the Mona Lisa?TheMona Lisais priceless. Any speculative price (some say over a billion dollars!) would probably be so high that not one person would be able or willing to purchase and maintain the painting. Moreover, theLouvre Museumwould probably never sell it. The museum attracts millions of visitors each year, most of whom come for theMona Lisa, so a steady stream of revenue may be more lucrative in the long run than a single payment. Indeed, the museum considers theMona Lisairreplaceable and thus spends its resources on preventive measures to maintain the portrait rather than on expensive insurance that can only offer mere money as a replacement.Why is the Mona Lisa so famous?Many theories have attempted to pinpoint one reason for the art piece’s celebrity, including itstheftfrom theLouvrein 1911 and its tour to the U.S. in 1963, but the most compelling arguments insist that there is no one explanation. TheMona Lisa’s fame is the result of many chance circumstances combined with the painting’s inherent appeal.Learn more.Mona Lisa,oil paintingon apoplarwood panel byLeonardo da Vinci, probably the world’s most famouspainting. It was painted sometime between 1503 and 1519, when Leonardo was living inFlorence, and it now hangs in theLouvre Museum,Paris, where it remained an object of pilgrimage in the 21st century. The sitter’s mysterious smile and her unproven identity have made the painting a source of ongoing investigation and fascination.SubjectUnraveling the mystery behind theMona LisaOverview of Leonardo da Vinci'sMona Lisa, with a discussion of the sitter's identity.(more)See all videos for this articleThe painting presents a woman in half-body portrait, which has as a backdrop a distant landscape. Yet this simple description of a seemingly standardcompositiongives little sense of Leonardo’s achievement. The three-quarter view, in which the sitter’s position mostly turns toward the viewer, broke from the standard profile pose used in Italian art and quickly became the convention for all portraits, one used well into the 21st century. The subject’s softly sculptural face shows Leonardo’s skillful handling ofsfumato(use of fine shading) and reveals his understanding of the musculature and the skull beneath the skin. The delicately painted veil, the finely wrought tresses, and the careful rendering of folded fabric demonstrate Leonardo’s studied observations and inexhaustible patience. Moreover, the sensuous curves of the sitter’s hair and clothing are echoed in the shapes of the valleys and rivers behind her. The sense of overall harmony achieved in the painting—especially apparent in the sitter’s faint smile—reflects Leonardo’s idea of the cosmic link connecting humanity and nature, making this painting an enduring record of Leonardo’s vision. In itsexquisitesynthesis of sitter and landscape, theMona Lisaset the standard for all future portraits.Who was the subject of theMona Lisa?Learn about efforts to identify the subject of Leonardo da Vinci's paintingMona Lisa(c. 1503–19).(more)See all videos for this articleThere has been much speculation and debate regarding the identity of the portrait’s sitter. Scholars and historians have posited numerous interpretations, including that she is Lisa del Giocondo (née Gherardini), the wife of the Florentine merchant Francesco di Bartolomeo del Giocondo, hence thealternativetitle to the work,La Gioconda. That identity was first suggested in 1550 by artist biographerGiorgio Vasari. Another theory was that the model may have been Leonardo’s mother, Caterina. That interpretation was put forth by, among others,Sigmund Freud, who seemed to think that the Mona Lisa’s mysterious smile emerged from a—perhaps unconscious—memory of Caterina’s smile. A third suggestion was that the painting was, in fact, Leonardo’s self-portrait, given the resemblance between the sitter’s and the artist’s facial features. Some scholars suggested that disguising himself as a woman was the artist’s riddle. The sitter’s identity has not been definitively proven. Numerous attempts in the 21st century to settle the debate by seeking Lisa del Giocondo’s remains to test her DNA and recreate an image of her face were inconclusive.HistoryLeonardo da Vinci began painting theMona Lisaabout 1503, and it was in his studio when he died in 1519. He likely worked on it intermittently over several years, adding multiple layers of thin oil glazes at different times. Small cracks in the paint, called craquelure, appear throughout the whole piece, but they are finer on the hands, where the thinner glazes correspond to Leonardo’s late period.French KingFrancis I, in whose court Leonardo spent the last years of his life,acquiredthe work after the artist’s death, and it became part of the royal collection. For centuries the portrait was secluded in French palaces, until insurgents claimed the royal collection as the property of the people during theFrench Revolution(1787–99). Following a period hanging inNapoleon’s bedroom, theMona Lisawas installed in theLouvre Museumat the turn of the 19th century.In 1911 the painting was stolen, causing an immediate media sensation. People flocked to the Louvre to view the empty space where the painting had once hung, the museum’s director of paintings resigned, and the poetGuillaume Apollinaireand artistPablo Picassowere even arrested as suspects. Two years later an art dealer inFlorencealerted local authorities that a man had tried to sell him the painting. Police found the portrait stashed in the false bottom of a trunk belonging toVincenzo Peruggia, an Italian immigrant who had briefly worked at the Louvre fitting glass on a selection of paintings, including theMona Lisa. He and possibly two other workers had hidden in a closet overnight, taken the portrait from the wall the morning of August 21, 1911, and run off withoutsuspicion. Peruggia was arrested, tried, and imprisoned, while theMona Lisatook a tour of Italy before making its triumphant return to France.DuringWorld War IItheMona Lisa, singled out as the most-endangered artwork in the Louvre, was evacuated to various locations in France’s countryside, returning to the museum in 1945 after peace had been declared. It later traveled to theUnited Statesin 1963, drawing about 40,000 people per day during its six-week stay at theMetropolitan Museum of ArtinNew York Cityand at theNational Gallery of ArtinWashington, D.C. It also toured toTokyoandMoscowin 1974.Get Unlimited AccessTry Britannica Premium for free and discover more.SubscribeConditionScholars have noted that theMona Lisais in fairly good condition for its age. The poplar panel shows some evidence ofwarpingfrom resistance to its original frame and to braces added by early restorers. To prevent the widening of a small crack, visible near the centre of the upper edge of the painting, dovetails were added to the back of the painting. Restorers later pasted heavy canvas over the crack and replaced the top dovetail.The glass protecting theMona Lisawas replaced with a bulletproof case after several attacks in 1956, one of which damaged an area near the subject’s left elbow. TheMona Lisathus escaped harm from acts of vandalism in 1974 during the work’s visit to Tokyo and in 2009 when a museumgoer threw a ceramic mug at it.",Positive
div,"Mona LisaTable of ContentsIntroduction & Top QuestionsSubjectHistoryConditionTheMona Lisaand its influenceOtherMona LisasMona Lisaoff the wallReferences & Edit HistoryQuick Facts & Related TopicsImages & VideosRelated QuestionsWho was the Mona Lisa in real life?How many years did it take to paint the Mona Lisa?What is the value of the Mona Lisa?Why is the Mona Lisa so famous?What are the characteristics of Renaissance art, and how does it differ from the art of the Middle Ages?Read NextWhy Is theMona LisaSo Famous?11 Lesser-Known, Mostly Contemporary Paintings You Should Hunt Down the Next Time You’re in London10 Famous Artworks by Leonardo da Vinci29 Paintings You Can Visit Only at the LouvreStealing Beauty: 11 Notable Art TheftsDiscover7 Nobel Prize ScandalsThe 10 Greatest Basketball Players of All TimeWhat's the Difference Between a Solstice and an Equinox?Just How Many Oceans Are There?The Seven Sacraments of the Roman Catholic church10 Greatest Baseball Players of All TimeWhat’s Inside the Great Pyramid?ContentsVisual ArtsPaintingLeonardo da Vinci:Mona LisaMona Lisa, oil on wood panel by Leonardo da Vinci, c. 1503–19; in the Louvre, Paris.(more)Mona Lisapainting by Leonardo da VinciAsk the Chatbot a QuestionMore ActionsPrintprintPrintPlease select which sections you would like to print:Table Of ContentsCiteverifiedCiteWhile every effort has been made to follow citation style rules, there may be some discrepancies.
			Please refer to the appropriate style manual or other sources if you have any questions.Select Citation StyleMLAAPAChicago Manual of StyleCopy CitationShareShareShare to social mediaFacebookXURLhttps://www.britannica.com/topic/Mona-Lisa-paintingFeedbackExternal WebsitesFeedbackCorrections? Updates? Omissions? Let us know if you have suggestions to improve this article (requires login).Feedback TypeSelect a type (Required)Factual CorrectionSpelling/Grammar CorrectionLink CorrectionAdditional InformationOtherYour FeedbackSubmit FeedbackThank you for your feedbackOur editors will review what you’ve submitted and determine whether to revise the article.External WebsitesKhan Academy - Mona LisaUEN Digital Press with Pressbooks - Renaissance Through Contemporary Art History - Mona LisaSmart History - Leonardo, ""Mona Lisa""BBC - The detail that unlocks the Mona LisaCNN - What's so special about the Mona Lisa?The Guardian - The myth of the Mona LisaArt in Context - “Mona Lisa” by Leonardo da Vinci – Facts About the “Mona Lisa”Ask the Chatbot a QuestionAlso known as: “La Gioconda”, “La Joconde”, “Portrait of Lisa Gherardini, wife of Francesco del Giocondo”Written and fact-checked byThe Editors of Encyclopaedia BritannicaEncyclopaedia Britannica's editors oversee subject areas in which they have extensive knowledge, whether from years of experience gained by working on that content or via study for an advanced degree. They write new content and verify and edit content received from contributors.The Editors of Encyclopaedia BritannicaLast Updated:Mar 25, 2025•Article HistoryTable of ContentsTable of ContentsAsk the ChatbotAlso called:Portrait of Lisa Gherardini, wife of Francesco del GiocondoItalian:La Gioconda, orFrench:La Joconde(Show more)See all related contentTop QuestionsWho was the Mona Lisa in real life?There has been much speculation and debate regarding the identity of theMona Lisa’s sitter. Scholars and historians have posited numerous possibilities, including that she is Lisa del Giocondo (née Gherardini), wife of the Florentine merchant Francesco di Bartolomeo del Giocondo—hence the alternative title to the work,La Gioconda. That identity was first suggested in 1550 by artist biographerGiorgio Vasari.How many years did it take to paint the Mona Lisa?Leonardo da Vincibegan painting theMona Lisain 1503, and it was in his studio when he died in 1519. He likely worked on it intermittently over several years, adding multiple layers of thin oil glazes at different times. Small cracks in the paint, called craquelure, appear throughout the whole piece, but they are finer on the hands, where the thinner glazes correspond to Leonardo’s late period.Where is the real Mona Lisa kept?TheMona Lisahangs behind bulletproof glass in a gallery of theLouvre MuseuminParis, where it has been a part of the museum’s collection since 1804. It was part of the royal collection before becoming the property of the French people during theRevolution(1787–99).What is the value of the Mona Lisa?TheMona Lisais priceless. Any speculative price (some say over a billion dollars!) would probably be so high that not one person would be able or willing to purchase and maintain the painting. Moreover, theLouvre Museumwould probably never sell it. The museum attracts millions of visitors each year, most of whom come for theMona Lisa, so a steady stream of revenue may be more lucrative in the long run than a single payment. Indeed, the museum considers theMona Lisairreplaceable and thus spends its resources on preventive measures to maintain the portrait rather than on expensive insurance that can only offer mere money as a replacement.Why is the Mona Lisa so famous?Many theories have attempted to pinpoint one reason for the art piece’s celebrity, including itstheftfrom theLouvrein 1911 and its tour to the U.S. in 1963, but the most compelling arguments insist that there is no one explanation. TheMona Lisa’s fame is the result of many chance circumstances combined with the painting’s inherent appeal.Learn more.Mona Lisa,oil paintingon apoplarwood panel byLeonardo da Vinci, probably the world’s most famouspainting. It was painted sometime between 1503 and 1519, when Leonardo was living inFlorence, and it now hangs in theLouvre Museum,Paris, where it remained an object of pilgrimage in the 21st century. The sitter’s mysterious smile and her unproven identity have made the painting a source of ongoing investigation and fascination.SubjectUnraveling the mystery behind theMona LisaOverview of Leonardo da Vinci'sMona Lisa, with a discussion of the sitter's identity.(more)See all videos for this articleThe painting presents a woman in half-body portrait, which has as a backdrop a distant landscape. Yet this simple description of a seemingly standardcompositiongives little sense of Leonardo’s achievement. The three-quarter view, in which the sitter’s position mostly turns toward the viewer, broke from the standard profile pose used in Italian art and quickly became the convention for all portraits, one used well into the 21st century. The subject’s softly sculptural face shows Leonardo’s skillful handling ofsfumato(use of fine shading) and reveals his understanding of the musculature and the skull beneath the skin. The delicately painted veil, the finely wrought tresses, and the careful rendering of folded fabric demonstrate Leonardo’s studied observations and inexhaustible patience. Moreover, the sensuous curves of the sitter’s hair and clothing are echoed in the shapes of the valleys and rivers behind her. The sense of overall harmony achieved in the painting—especially apparent in the sitter’s faint smile—reflects Leonardo’s idea of the cosmic link connecting humanity and nature, making this painting an enduring record of Leonardo’s vision. In itsexquisitesynthesis of sitter and landscape, theMona Lisaset the standard for all future portraits.Who was the subject of theMona Lisa?Learn about efforts to identify the subject of Leonardo da Vinci's paintingMona Lisa(c. 1503–19).(more)See all videos for this articleThere has been much speculation and debate regarding the identity of the portrait’s sitter. Scholars and historians have posited numerous interpretations, including that she is Lisa del Giocondo (née Gherardini), the wife of the Florentine merchant Francesco di Bartolomeo del Giocondo, hence thealternativetitle to the work,La Gioconda. That identity was first suggested in 1550 by artist biographerGiorgio Vasari. Another theory was that the model may have been Leonardo’s mother, Caterina. That interpretation was put forth by, among others,Sigmund Freud, who seemed to think that the Mona Lisa’s mysterious smile emerged from a—perhaps unconscious—memory of Caterina’s smile. A third suggestion was that the painting was, in fact, Leonardo’s self-portrait, given the resemblance between the sitter’s and the artist’s facial features. Some scholars suggested that disguising himself as a woman was the artist’s riddle. The sitter’s identity has not been definitively proven. Numerous attempts in the 21st century to settle the debate by seeking Lisa del Giocondo’s remains to test her DNA and recreate an image of her face were inconclusive.HistoryLeonardo da Vinci began painting theMona Lisaabout 1503, and it was in his studio when he died in 1519. He likely worked on it intermittently over several years, adding multiple layers of thin oil glazes at different times. Small cracks in the paint, called craquelure, appear throughout the whole piece, but they are finer on the hands, where the thinner glazes correspond to Leonardo’s late period.French KingFrancis I, in whose court Leonardo spent the last years of his life,acquiredthe work after the artist’s death, and it became part of the royal collection. For centuries the portrait was secluded in French palaces, until insurgents claimed the royal collection as the property of the people during theFrench Revolution(1787–99). Following a period hanging inNapoleon’s bedroom, theMona Lisawas installed in theLouvre Museumat the turn of the 19th century.In 1911 the painting was stolen, causing an immediate media sensation. People flocked to the Louvre to view the empty space where the painting had once hung, the museum’s director of paintings resigned, and the poetGuillaume Apollinaireand artistPablo Picassowere even arrested as suspects. Two years later an art dealer inFlorencealerted local authorities that a man had tried to sell him the painting. Police found the portrait stashed in the false bottom of a trunk belonging toVincenzo Peruggia, an Italian immigrant who had briefly worked at the Louvre fitting glass on a selection of paintings, including theMona Lisa. He and possibly two other workers had hidden in a closet overnight, taken the portrait from the wall the morning of August 21, 1911, and run off withoutsuspicion. Peruggia was arrested, tried, and imprisoned, while theMona Lisatook a tour of Italy before making its triumphant return to France.DuringWorld War IItheMona Lisa, singled out as the most-endangered artwork in the Louvre, was evacuated to various locations in France’s countryside, returning to the museum in 1945 after peace had been declared. It later traveled to theUnited Statesin 1963, drawing about 40,000 people per day during its six-week stay at theMetropolitan Museum of ArtinNew York Cityand at theNational Gallery of ArtinWashington, D.C. It also toured toTokyoandMoscowin 1974.Get Unlimited AccessTry Britannica Premium for free and discover more.SubscribeConditionScholars have noted that theMona Lisais in fairly good condition for its age. The poplar panel shows some evidence ofwarpingfrom resistance to its original frame and to braces added by early restorers. To prevent the widening of a small crack, visible near the centre of the upper edge of the painting, dovetails were added to the back of the painting. Restorers later pasted heavy canvas over the crack and replaced the top dovetail.The glass protecting theMona Lisawas replaced with a bulletproof case after several attacks in 1956, one of which damaged an area near the subject’s left elbow. TheMona Lisathus escaped harm from acts of vandalism in 1974 during the work’s visit to Tokyo and in 2009 when a museumgoer threw a ceramic mug at it.",Positive
